N,low,high
797,28.23,29.24
798,28.24,29.26
799,28.26,29.28
800,28.28,29.30
801,28.30,29.31
802,28.31,29.33
803,28.33,29.35
804,28.35,29.37
805,28.37,29.38
806,28.38,29.40
807,28.40,29.42
808,28.42,29.44
809,28.44,29.45
810,28.45,29.47
811,28.47,29.49
812,28.49,29.51
813,28.51,29.52
814,28.52,29.54
815,28.54,29.56
816,28.56,29.58
817,28.58,29.59
818,28.59,29.61
819,28.61,29.63
820,28.63,29.65
821,28.65,29.66
822,28.66,29.68
823,28.68,29.70
824,28.70,29.72
825,28.72,29.73
826,28.73,29.75
827,28.75,29.77
828,28.77,29.79
829,28.79,29.80
830,28.80,29.82
831,28.82,29.84
832,28.84,29.86
833,28.86,29.87
834,28.87,29.89
835,28.89,29.91
836,28.91,29.93
837,28.93,29.94
838,28.94,29.96
839,28.96,29.98
840,28.98,29.99
841,28.99,30.01
842,29.01,30.03
843,29.03,30.05
844,29.05,30.06
845,29.06,30.08
846,29.08,30.10
847,29.10,30.11
848,29.11,30.13
849,29.13,30.15
850,29.15,30.17
851,29.17,30.18
852,29.18,30.20
853,29.20,30.22
854,29.22,30.23
855,29.23,30.25
856,29.25,30.27
857,29.27,30.29
858,29.29,30.30
859,29.30,30.32
860,29.32,30.34
861,29.34,30.35
862,29.35,30.37
863,29.37,30.39
864,29.39,30.41
865,29.41,30.42
866,29.42,30.44
867,29.44,30.46
868,29.46,30.47
869,29.47,30.49
870,29.49,30.51
871,29.51,30.52
872,29.52,30.54
873,29.54,30.56
874,29.56,30.57
875,29.57,30.59
876,29.59,30.61
877,29.61,30.63
878,29.63,30.64
879,29.64,30.66
880,29.66,30.68
881,29.68,30.69
882,29.69,30.71
883,29.71,30.73
884,29.73,30.74
885,29.74,30.76
886,29.76,30.78
887,29.78,30.79
888,29.79,30.81
889,29.81,30.83
890,29.83,30.84
891,29.84,30.86
892,29.86,30.88
893,29.88,30.89
894,29.89,30.91
895,29.91,30.93
896,29.93,30.94
897,29.94,30.96
898,29.96,30.98
899,29.98,30.99
900,29.99,31.01
901,30.01,31.03
902,30.03,31.04
903,30.04,31.06
904,30.06,31.08
905,30.08,31.09
906,30.09,31.11
907,30.11,31.13
908,30.13,31.14
909,30.14,31.16
910,30.16,31.18
911,30.18,31.19
912,30.19,31.21
913,30.21,31.23
914,30.23,31.24
915,30.24,31.26
916,30.26,31.28
917,30.28,31.29
918,30.29,31.31
919,30.31,31.33
920,30.33,31.34
921,30.34,31.36
922,30.36,31.38
923,30.38,31.39
924,30.39,31.41
925,30.41,31.42
926,30.42,31.44
927,30.44,31.46
928,30.46,31.47
929,30.47,31.49
930,30.49,31.51
931,30.51,31.52
932,30.52,31.54
933,30.54,31.56
934,30.56,31.57
935,30.57,31.59
936,30.59,31.61
937,30.61,31.62
938,30.62,31.64
939,30.64,31.65
940,30.65,31.67
941,30.67,31.69
942,30.69,31.70
943,30.70,31.72
944,30.72,31.74
945,30.74,31.75
946,30.75,31.77
947,30.77,31.78
948,30.78,31.80
949,30.80,31.82
950,30.82,31.83
951,30.83,31.85
952,30.85,31.87
953,30.87,31.88
954,30.88,31.90
955,30.90,31.91
956,30.91,31.93
957,30.93,31.95
958,30.95,31.96
959,30.96,31.98
960,30.98,31.99
961,30.99,32.01
962,31.01,32.03
963,31.03,32.04
964,31.04,32.06
965,31.06,32.08
966,31.08,32.09
967,31.09,32.11
968,31.11,32.12
969,31.12,32.14
970,31.14,32.16
971,31.16,32.17
972,31.17,32.19
973,31.19,32.20
974,31.20,32.22
975,31.22,32.24
976,31.24,32.25
977,31.25,32.27
978,31.27,32.28
979,31.28,32.30
980,31.30,32.32
981,31.32,32.33
982,31.33,32.35
983,31.35,32.36
984,31.36,32.38
985,31.38,32.40
986,31.40,32.41
987,31.41,32.43
988,31.43,32.44
989,31.44,32.46
990,31.46,32.47
991,31.47,32.49
992,31.49,32.51
993,31.51,32.52
994,31.52,32.54
995,31.54,32.55
996,31.55,32.57
997,31.57,32.59
998,31.59,32.60
999,31.60,32.62
1000,31.62,32.63
